clnt_age
79.0
79.0
79.0
79.0
79.0
79.0
79.0
79.0
34.5
34.5
34.5
34.5
34.5
63.5
63.5
63.5
63.5
63.5
63.5
63.5
63.5
63.5
63.5
63.5
44.5
44.5
44.5
44.5
44.5
29.0
29.0
27.0
27.0
27.0
27.0
27.0
27.0
53.5
53.5
53.5
53.5
53.5
32.5
32.5
32.5
32.5
32.5
32.5
32.5
61.5
61.5
61.5
61.5
61.5
61.5
61.5
38.0
38.0
38.0
38.0
66.5
66.5
63.5
63.5
63.5
63.5
32.5
32.5
32.5
32.5
32.5
32.5
44.5
44.5
44.5
44.5
44.5
44.5
44.5
44.5
36.5
36.5
36.5
36.5
36.5
36.5
36.5
36.5
36.5
36.5
36.5
36.5
61.5
61.5
61.5
61.5
61.5
57.5
36.5
79.0
79.0
79.0
79.0
79.0
58.5
58.5
44.5
44.5
44.5
44.5
44.5
44.5
44.5
61.5
61.5
30.5
30.5
30.5
58.5
58.5
49.0
49.0
49.0
49.0
79.0
79.0
42.5
42.5
42.5
58.5
58.5
58.5
58.5
33.0
33.0
70.5
66.5
66.5
66.5
66.5
59.5
59.5
59.5
59.5
59.5
44.5
44.5
44.5
44.5
44.5
44.5
70.5
70.5
70.5
70.5
53.5
53.5
72.5
72.5
72.5
72.5
72.5
59.5
59.5
59.5
26.0
26.0
26.0
26.0
26.0
53.5
57.5
57.5
57.5
57.5
57.5
57.5
57.5
24.5
24.5
24.5
24.5
24.5
35.0
35.0
35.0
35.0
35.0
35.0
35.0
54.0
28.5
28.5
28.5
28.5
28.5
28.5
48.0
48.0
48.0
48.0
25.5
25.5
25.5
25.5
25.5
25.5
25.5
19.5
19.5
19.5
19.5
19.5
19.5
19.5
19.5
19.5
29.0
29.0
29.0
29.0
66.5
66.5
66.5
66.5
66.5
66.5
66.5
66.5
66.5
66.5
66.5
66.5
66.5
66.5
66.5
66.5
28.5
28.5
28.5
28.5
28.5
32.5
28.0
49.5
49.5
49.5
49.5
49.5
49.5
49.5
30.5
30.5
30.5
30.5
30.5
44.5
33.5
33.5
30.5
24.5
24.5
24.5
24.5
24.5
35.0
48.0
33.5
33.5
33.5
33.5
75.0
38.0
38.0
38.0
38.0
54.5
54.5
54.5
54.5
54.5
54.5
54.5
68.0
48.0
48.0
48.0
48.0
48.0
48.0
48.0
48.0
30.5
30.5
30.5
30.5
30.5
30.5
30.5
38.5
38.5
38.5
38.5
38.5
61.5
61.5
61.5
61.5
61.5
61.5
50.0
50.0
50.0
50.0
36.0
36.0
36.0
36.0
36.0
36.0
36.0
36.0
36.0
36.0
33.5
33.5
33.5
33.5
29.0
29.0
29.0
29.0
73.0
73.0
36.0
36.0
36.0
52.0
61.5
61.5
61.5
61.5
61.5
39.0
49.5
49.5
49.5
49.5
27.5
27.5
27.5
27.5
27.5
49.5
22.5
22.5
22.5
22.5
22.5
54.5
33.5
33.5
33.5
33.5
33.5
63.0
63.0
63.0
63.0
63.0
63.0
64.5
64.5
64.5
64.5
64.5
64.5
34.5
34.5
34.5
34.5
34.5
34.5
34.5
34.5
65.0
65.0
65.0
65.0
65.0
65.0
26.0
26.0
26.0
